Test Title:	ETEN10 lab 1						
Date:	2011-10-16						
Time:	13:52						
Operator Name:	Ben Nel						
Comment:	Vert						
							
[Scan Axis] Name: 	Azimuth  [deg]Start: 	-180.000000	Stop	180.000000	Increment	5.000000[Step Axis] Name: 	Start: 	0.000000	Stop	0.000000	Increment	0.000000[Tert] Name: 	None [Forth] Name: 	None  [ Freq.]  (Single) 	GHz.	1.575000
 [Switch]  	None [Channel]  	CH1			 [ Beam] 	None			
Database:			
First Question			
2nd			
3rd			
4th			
			
Frequency	1.575	GHz	
Channel	CH1		
Scan Axis name	Azimuth  [deg]		
Scan Axis	Amplitude	Phase	
			
-180.00	-71.966	-17.040	
-175.00	-71.513	7.485	
-170.00	-70.663	18.615	
-165.00	-70.559	22.045	
-160.00	-71.306	22.405	
-155.00	-72.529	21.096	
-150.00	-73.857	18.542	
-145.00	-74.807	12.498	
-140.00	-74.690	3.208	
-135.00	-74.020	-4.603	
-130.00	-73.385	-8.781	
-125.00	-73.255	-9.579	
-120.00	-74.031	-7.272	
-115.00	-75.795	-4.218	
-110.00	-78.852	-7.538	
-105.00	-82.411	-38.957	
-100.00	-78.596	-86.579	
-95.00	-73.547	-101.029	
-90.00	-69.984	-100.946	
-85.00	-67.458	-97.291	
-80.00	-66.088	-90.539	
-75.00	-64.855	-80.607	
-70.00	-64.029	-67.354	
-65.00	-63.256	-52.255	
-60.00	-62.581	-34.737	
-55.00	-61.517	-16.919	
-50.00	-60.478	1.155	
-45.00	-59.214	17.315	
-40.00	-58.086	33.085	
-35.00	-56.841	45.262	
-30.00	-55.868	56.141	
-25.00	-55.130	67.645	
-20.00	-54.485	77.180	
-15.00	-54.004	86.209	
-10.00	-53.374	94.138	
-5.00	-53.041	100.391	
0.00	-52.671	105.368	
5.00	-52.531	109.080	
10.00	-52.411	111.746	
15.00	-52.401	113.407	
20.00	-52.458	113.867	
25.00	-52.653	112.957	
30.00	-52.946	110.976	
35.00	-53.376	108.439	
40.00	-53.734	104.535	
45.00	-54.177	99.788	
50.00	-54.827	94.525	
55.00	-55.490	89.036	
60.00	-56.311	82.534	
65.00	-57.210	75.527	
70.00	-58.092	69.202	
75.00	-58.948	64.114	
80.00	-59.757	59.407	
85.00	-60.509	55.502	
90.00	-61.324	51.024	
95.00	-62.370	45.967	
100.00	-63.763	39.444	
105.00	-65.859	29.621	
110.00	-68.482	14.452	
115.00	-71.322	-12.346	
120.00	-72.456	-47.049	
125.00	-71.954	-75.358	
130.00	-71.326	-97.462	
135.00	-70.546	-115.634	
140.00	-70.054	-128.775	
145.00	-70.095	-139.368	
150.00	-70.932	-147.053	
155.00	-72.893	-156.576	
160.00	-76.096	-174.655	
165.00	-78.739	143.503	
170.00	-76.485	99.326	
175.00	-73.101	79.920	
180.00	-70.882	69.317	
