Test Title:	ETEN10 lab 1						
Date:	2011-10-16						
Time:	13:17						
Operator Name:	Ben Nel						
Comment:	Vert						
							
[Scan Axis] Name: 	Azimuth  [deg]Start: 	-180.000000	Stop	180.000000	Increment	5.000000[Step Axis] Name: 	Roll  [deg]Start: 	0.000000	Stop	90.000000	Increment	90.000000[Tert] Name: 	None [Forth] Name: 	None  [ Freq.]  (Single) 	GHz.	1.176000
 [Switch]  	None [Channel]  	CH1			 [ Beam] 	None			
Database:			
First Question			
2nd			
3rd			
4th			
			
Frequency	1.176	GHz	
Step Axis :Roll  [deg]	0.00		
Channel	CH1		
Scan Axis name	Azimuth  [deg]		
Scan Axis	Amplitude	Phase	
			
-180.00	-77.185	55.336	
-175.00	-81.534	40.789	
-170.00	-92.456	-26.121	
-165.00	-82.016	-111.164	
-160.00	-76.000	-117.461	
-155.00	-72.277	-115.866	
-150.00	-69.268	-111.545	
-145.00	-67.023	-110.200	
-140.00	-65.535	-108.964	
-135.00	-64.790	-106.487	
-130.00	-64.506	-100.682	
-125.00	-64.461	-90.635	
-120.00	-63.982	-77.592	
-115.00	-63.352	-66.717	
-110.00	-63.171	-58.070	
-105.00	-63.641	-47.738	
-100.00	-64.264	-34.196	
-95.00	-64.817	-19.593	
-90.00	-65.465	-3.151	
-85.00	-65.865	15.320	
-80.00	-65.810	32.215	
-75.00	-65.852	46.521	
-70.00	-65.864	60.627	
-65.00	-65.679	72.268	
-60.00	-65.487	79.210	
-55.00	-65.508	82.709	
-50.00	-65.752	83.319	
-45.00	-65.915	82.240	
-40.00	-65.798	78.238	
-35.00	-65.313	71.638	
-30.00	-64.444	64.459	
-25.00	-63.261	58.270	
-20.00	-61.951	53.856	
-15.00	-60.808	50.270	
-10.00	-59.847	47.589	
-5.00	-58.856	46.402	
0.00	-58.037	45.520	
5.00	-57.398	44.988	
10.00	-56.860	45.019	
15.00	-56.523	44.341	
20.00	-56.237	43.154	
25.00	-56.016	41.386	
30.00	-55.899	38.917	
35.00	-55.850	35.772	
40.00	-55.880	32.212	
45.00	-56.070	27.831	
50.00	-56.434	22.351	
55.00	-56.996	15.840	
60.00	-57.599	7.623	
65.00	-58.215	-1.737	
70.00	-58.819	-11.964	
75.00	-59.451	-23.201	
80.00	-60.124	-35.054	
85.00	-60.659	-48.445	
90.00	-61.056	-62.173	
95.00	-61.231	-74.843	
100.00	-61.287	-84.865	
105.00	-61.527	-92.032	
110.00	-62.177	-97.910	
115.00	-63.093	-102.636	
120.00	-64.268	-106.343	
125.00	-65.868	-108.375	
130.00	-68.359	-109.760	
135.00	-72.214	-112.292	
140.00	-79.147	-119.755	
145.00	-93.523	126.311	
150.00	-78.508	69.657	
155.00	-73.503	61.205	
160.00	-70.989	54.198	
165.00	-69.492	47.866	
170.00	-68.936	42.321	
175.00	-69.364	36.916	
180.00	-70.782	31.175	
Frequency	1.176	GHz	
Step Axis :Roll  [deg]	90.00		
Channel	CH1		
Scan Axis name	Azimuth  [deg]		
Scan Axis	Amplitude	Phase	
			
-180.00	-75.836	-12.623	
-175.00	-77.267	-25.595	
-170.00	-78.494	-55.768	
-165.00	-76.628	-86.448	
-160.00	-73.776	-103.525	
-155.00	-70.985	-107.888	
-150.00	-68.583	-106.994	
-145.00	-66.611	-106.950	
-140.00	-65.341	-106.598	
-135.00	-64.609	-104.232	
-130.00	-64.395	-98.838	
-125.00	-64.359	-88.659	
-120.00	-63.915	-75.884	
-115.00	-63.310	-65.768	
-110.00	-63.162	-56.568	
-105.00	-63.609	-46.338	
-100.00	-64.233	-32.449	
-95.00	-64.772	-17.661	
-90.00	-65.418	-0.691	
-85.00	-65.757	18.161	
-80.00	-65.705	35.802	
-75.00	-65.661	50.121	
-70.00	-65.694	63.620	
-65.00	-65.524	75.149	
-60.00	-65.295	82.430	
-55.00	-65.379	85.750	
-50.00	-65.708	86.805	
-45.00	-66.013	85.427	
-40.00	-66.019	81.329	
-35.00	-65.624	74.389	
-30.00	-64.780	66.515	
-25.00	-63.572	59.715	
-20.00	-62.307	54.832	
-15.00	-61.106	50.889	
-10.00	-59.984	48.082	
-5.00	-59.081	46.187	
0.00	-58.301	45.060	
5.00	-57.626	44.333	
10.00	-57.093	44.233	
15.00	-56.660	43.647	
20.00	-56.348	42.489	
25.00	-56.153	41.053	
30.00	-56.008	38.588	
35.00	-55.916	35.748	
40.00	-55.940	32.041	
45.00	-56.101	27.856	
50.00	-56.451	22.746	
55.00	-56.975	16.184	
60.00	-57.630	8.055	
65.00	-58.236	-1.658	
70.00	-58.869	-12.151	
75.00	-59.448	-23.341	
80.00	-60.132	-35.568	
85.00	-60.605	-48.711	
90.00	-60.955	-61.850	
95.00	-61.109	-74.030	
100.00	-61.168	-83.892	
105.00	-61.491	-91.192	
110.00	-62.074	-97.347	
115.00	-62.982	-102.014	
120.00	-64.186	-105.782	
125.00	-65.816	-107.774	
130.00	-68.310	-108.781	
135.00	-72.216	-110.956	
140.00	-79.346	-117.668	
145.00	-91.959	114.678	
150.00	-78.162	71.025	
155.00	-73.457	61.714	
160.00	-70.953	55.333	
165.00	-69.627	48.816	
170.00	-69.146	42.960	
175.00	-69.634	37.091	
180.00	-71.083	31.138	
