Test Title:	ETEN10 lab 1						
Date:	2011-10-16						
Time:	13:01						
Operator Name:	Ben Nel						
Comment:	Vert						
							
[Scan Axis] Name: 	Azimuth  [deg]Start: 	-180.000000	Stop	180.000000	Increment	5.000000[Step Axis] Name: 	Start: 	0.000000	Stop	0.000000	Increment	0.000000[Tert] Name: 	None [Forth] Name: 	None  [ Freq.]  (Single) 	GHz.	1.575000
 [Switch]  	None [Channel]  	CH1			 [ Beam] 	None			
Database:			
First Question			
2nd			
3rd			
4th			
			
Frequency	1.575	GHz	
Channel	CH1		
Scan Axis name	Azimuth  [deg]		
Scan Axis	Amplitude	Phase	
			
-180.00	-72.970	-67.029	
-175.00	-80.221	13.712	
-170.00	-75.488	48.174	
-165.00	-73.038	55.017	
-160.00	-72.460	55.105	
-155.00	-72.993	54.924	
-150.00	-74.234	54.043	
-145.00	-75.940	51.034	
-140.00	-77.618	40.751	
-135.00	-78.374	22.780	
-130.00	-77.314	6.197	
-125.00	-75.995	-4.080	
-120.00	-75.191	-7.846	
-115.00	-75.564	-9.407	
-110.00	-77.079	-7.725	
-105.00	-79.736	-10.617	
-100.00	-82.550	-37.008	
-95.00	-80.031	-82.686	
-90.00	-75.263	-98.918	
-85.00	-71.695	-100.399	
-80.00	-69.188	-97.118	
-75.00	-67.452	-90.509	
-70.00	-66.084	-81.792	
-65.00	-64.982	-69.494	
-60.00	-64.195	-55.028	
-55.00	-63.297	-37.080	
-50.00	-62.213	-19.314	
-45.00	-60.990	-0.974	
-40.00	-59.657	15.613	
-35.00	-58.318	29.858	
-30.00	-57.134	43.581	
-25.00	-56.155	55.262	
-20.00	-55.318	66.797	
-15.00	-54.487	77.506	
-10.00	-53.895	86.226	
-5.00	-53.394	94.544	
0.00	-52.981	102.225	
5.00	-52.714	108.387	
10.00	-52.458	113.251	
15.00	-52.380	117.594	
20.00	-52.388	120.442	
25.00	-52.570	121.604	
30.00	-52.729	122.157	
35.00	-53.080	121.311	
40.00	-53.435	119.728	
45.00	-53.910	117.278	
50.00	-54.448	113.711	
55.00	-55.066	109.836	
60.00	-55.825	104.253	
65.00	-56.733	99.081	
70.00	-57.614	93.586	
75.00	-58.515	88.623	
80.00	-59.407	83.857	
85.00	-60.190	79.414	
90.00	-60.749	75.517	
95.00	-61.398	71.059	
100.00	-62.264	66.089	
105.00	-63.442	60.143	
110.00	-65.160	51.161	
115.00	-67.372	38.426	
120.00	-70.035	18.738	
125.00	-71.680	-9.435	
130.00	-72.134	-38.048	
135.00	-71.819	-63.147	
140.00	-71.127	-84.006	
145.00	-70.365	-101.930	
150.00	-69.775	-114.834	
155.00	-70.096	-124.843	
160.00	-71.182	-135.406	
165.00	-73.285	-150.217	
170.00	-75.600	-178.114	
175.00	-75.920	144.844	
180.00	-73.651	116.031	
