Test Title:	ETEN10 lab 1						
Date:	2011-10-16						
Time:	13:29						
Operator Name:	Ben Nel						
Comment:	Vert						
							
[Scan Axis] Name: 	Azimuth  [deg]Start: 	-180.000000	Stop	180.000000	Increment	5.000000[Step Axis] Name: 	Start: 	0.000000	Stop	0.000000	Increment	0.000000[Tert] Name: 	None [Forth] Name: 	None  [ Freq.]  (Single) 	GHz.	1.575000
 [Switch]  	None [Channel]  	CH1			 [ Beam] 	None			
Database:			
First Question			
2nd			
3rd			
4th			
			
Frequency	1.575	GHz	
Channel	CH1		
Scan Axis name	Azimuth  [deg]		
Scan Axis	Amplitude	Phase	
			
-180.00	-70.372	-100.614	
-175.00	-69.646	-80.331	
-170.00	-68.842	-67.184	
-165.00	-68.061	-56.431	
-160.00	-67.600	-47.231	
-155.00	-67.376	-38.846	
-150.00	-67.527	-30.436	
-145.00	-67.960	-20.995	
-140.00	-68.781	-8.714	
-135.00	-69.719	7.204	
-130.00	-70.427	25.472	
-125.00	-70.992	45.818	
-120.00	-71.615	69.187	
-115.00	-71.403	94.466	
-110.00	-70.590	116.775	
-105.00	-69.415	134.552	
-100.00	-68.202	145.382	
-95.00	-67.133	155.390	
-90.00	-65.718	165.257	
-85.00	-64.020	176.004	
-80.00	-62.124	-172.966	
-75.00	-60.292	-161.254	
-70.00	-58.517	-149.020	
-65.00	-56.984	-138.186	
-60.00	-55.555	-126.837	
-55.00	-54.212	-114.330	
-50.00	-52.872	-101.543	
-45.00	-51.801	-90.232	
-40.00	-50.597	-78.684	
-35.00	-49.548	-68.306	
-30.00	-48.553	-58.172	
-25.00	-47.662	-49.989	
-20.00	-46.855	-41.592	
-15.00	-46.034	-35.217	
-10.00	-45.373	-30.466	
-5.00	-44.845	-26.700	
0.00	-44.646	-24.504	
5.00	-44.439	-23.648	
10.00	-44.359	-24.407	
15.00	-44.390	-25.689	
20.00	-44.742	-28.002	
25.00	-45.200	-31.181	
30.00	-45.702	-34.825	
35.00	-46.394	-39.578	
40.00	-47.334	-45.514	
45.00	-48.475	-52.284	
50.00	-49.779	-59.868	
55.00	-51.237	-67.856	
60.00	-52.928	-76.830	
65.00	-54.873	-86.511	
70.00	-57.062	-96.732	
75.00	-59.529	-108.554	
80.00	-62.017	-121.081	
85.00	-64.491	-134.024	
90.00	-66.677	-146.447	
95.00	-68.501	-156.556	
100.00	-69.483	-162.510	
105.00	-69.928	-163.972	
110.00	-69.895	-164.067	
115.00	-69.744	-165.738	
120.00	-69.905	-169.825	
125.00	-70.490	-175.379	
130.00	-71.813	177.200	
135.00	-74.118	168.315	
140.00	-77.799	156.897	
145.00	-85.426	132.171	
150.00	-85.537	9.926	
155.00	-77.145	-15.110	
160.00	-73.016	-24.741	
165.00	-70.351	-31.063	
170.00	-68.613	-35.950	
175.00	-67.407	-39.786	
180.00	-66.694	-42.271	
