Test Title:	System_Review						
Date:	2011-10-16						
Time:	12:26						
Operator Name:	Zach Miers						
Comment:	Overview of test system						
							
[Scan Axis] Name: 	Azimuth  [deg]Start: 	-180.000000	Stop	180.000000	Increment	5.000000[Step Axis] Name: 	Roll  [deg]Start: 	0.000000	Stop	90.000000	Increment	90.000000[Tert] Name: 	None [Forth] Name: 	None  [ Freq.]  (Single) 	GHz.	1.176000
 [Switch]  	None [Channel]  	CH1			 [ Beam] 	None			
Database:			
First Question			
2nd			
3rd			
4th			
			
Frequency	1.176	GHz	
Step Axis :Roll  [deg]	0.00		
Channel	CH1		
Scan Axis name	Azimuth  [deg]		
Scan Axis	Amplitude	Phase	
			
-180.00	-61.307	-152.196	
-175.00	-61.307	-152.196	
-170.00	-60.088	-145.858	
-165.00	-60.681	-152.242	
-160.00	-60.681	-152.242	
-155.00	-60.165	-153.360	
-150.00	-60.165	-153.360	
-145.00	-61.015	-158.924	
-140.00	-61.254	-153.765	
-135.00	-61.254	-153.765	
-130.00	-61.370	-160.481	
-125.00	-60.210	-157.597	
-120.00	-60.210	-157.597	
-115.00	-61.396	-159.941	
-110.00	-62.193	-160.738	
-105.00	-62.193	-160.738	
-100.00	-62.097	-166.771	
-95.00	-62.097	-166.771	
-90.00	-63.226	-164.917	
-85.00	-62.450	-170.229	
-80.00	-62.450	-170.229	
-75.00	-61.690	-165.800	
-70.00	-61.451	-168.339	
-65.00	-61.451	-168.339	
-60.00	-60.364	-169.746	
-55.00	-59.041	-177.129	
-50.00	-59.041	-177.129	
-45.00	-59.640	-176.860	
-40.00	-59.640	-176.860	
-35.00	-58.717	-176.650	
-30.00	-58.696	179.751	
-25.00	-58.696	179.751	
-20.00	-57.443	-173.122	
-15.00	-57.900	-170.466	
-10.00	-57.900	-170.466	
-5.00	-57.296	-162.433	
0.00	-56.256	-159.227	
5.00	-56.256	-159.227	
10.00	-55.832	-157.028	
15.00	-55.832	-157.028	
20.00	-55.049	-150.748	
25.00	-55.167	-146.590	
30.00	-55.167	-146.590	
35.00	-55.105	-135.281	
40.00	-54.344	-130.476	
45.00	-54.344	-130.476	
50.00	-54.077	-119.824	
55.00	-54.049	-107.374	
60.00	-54.049	-107.374	
65.00	-53.193	-104.093	
70.00	-53.193	-104.093	
75.00	-52.810	-99.031	
80.00	-52.051	-87.774	
85.00	-52.051	-87.774	
90.00	-52.149	-78.407	
95.00	-50.642	-70.374	
100.00	-50.642	-70.374	
105.00	-50.089	-62.892	
110.00	-49.902	-49.768	
115.00	-49.902	-49.768	
120.00	-49.184	-39.039	
125.00	-49.184	-39.039	
130.00	-48.859	-33.640	
135.00	-47.441	-29.436	
140.00	-47.441	-29.436	
145.00	-47.444	-25.233	
150.00	-46.988	-13.898	
155.00	-46.988	-13.898	
160.00	-46.730	-10.080	
165.00	-45.902	-2.992	
170.00	-45.902	-2.992	
175.00	-45.191	-0.727	
180.00	-45.191	-0.727	
Frequency	1.176	GHz	
Step Axis :Roll  [deg]	90.00		
Channel	CH1		
Scan Axis name	Azimuth  [deg]		
Scan Axis	Amplitude	Phase	
			
-180.00	-22.677	128.102	
-175.00	-22.335	125.741	
-170.00	-22.546	122.624	
-165.00	-22.587	121.993	
-160.00	-22.827	118.328	
-155.00	-23.049	116.317	
-150.00	-24.017	110.227	
-145.00	-24.134	107.340	
-140.00	-24.146	106.862	
-135.00	-22.744	105.339	
-130.00	-21.297	105.541	
-125.00	-19.981	98.395	
-120.00	-19.875	100.108	
-115.00	-19.109	108.688	
-110.00	-18.131	116.742	
-105.00	-17.085	124.492	
-100.00	-16.919	132.875	
-95.00	-16.171	145.649	
-90.00	-15.350	164.098	
-85.00	-14.637	177.473	
-80.00	-14.185	-169.042	
-75.00	-12.635	-152.439	
-70.00	-11.799	-142.134	
-65.00	-11.210	-129.395	
-60.00	-10.249	-115.925	
-55.00	-9.465	-102.141	
-50.00	-8.058	-92.706	
-45.00	-7.400	-83.947	
-40.00	-6.806	-73.502	
-35.00	-5.976	-66.080	
-30.00	-5.443	-57.598	
-25.00	-4.708	-55.063	
-20.00	-4.566	-46.551	
-15.00	-4.258	-40.961	
-10.00	-3.915	-39.620	
-5.00	-3.604	-35.355	
0.00	-3.520	-32.725	
5.00	-3.766	-32.951	
10.00	-3.743	-33.395	
15.00	-3.893	-34.655	
20.00	-4.138	-36.965	
25.00	-4.633	-38.888	
30.00	-4.984	-44.501	
35.00	-5.563	-50.642	
40.00	-5.986	-55.633	
45.00	-6.714	-61.548	
50.00	-7.257	-69.575	
55.00	-8.061	-77.494	
60.00	-8.899	-85.357	
65.00	-9.896	-96.438	
70.00	-10.922	-106.717	
75.00	-11.972	-117.485	
80.00	-13.202	-128.744	
85.00	-14.471	-138.759	
90.00	-15.593	-153.657	
95.00	-16.543	-164.522	
100.00	-17.806	-175.234	
105.00	-19.315	174.349	
110.00	-20.879	161.698	
115.00	-21.773	150.084	
120.00	-22.271	142.254	
125.00	-23.053	142.990	
130.00	-24.072	146.932	
135.00	-25.677	156.524	
140.00	-27.497	154.132	
145.00	-28.747	144.921	
150.00	-28.236	133.056	
155.00	-27.011	127.563	
160.00	-25.421	127.913	
165.00	-24.842	129.894	
170.00	-23.909	128.178	
175.00	-23.366	130.977	
180.00	-22.687	130.211	
