Test Title:	System_Review						
Date:	2011-10-16						
Time:	12:56						
Operator Name:	Zach Miers						
Comment:	Overview of test system						
							
[Scan Axis] Name: 	Azimuth  [deg]Start: 	-180.000000	Stop	180.000000	Increment	5.000000[Step Axis] Name: 	Roll  [deg]Start: 	0.000000	Stop	90.000000	Increment	90.000000[Tert] Name: 	None [Forth] Name: 	None  [ Freq.]  (Single) 	GHz.	1.176000
 [Switch]  	None [Channel]  	CH1			 [ Beam] 	None			
Database:			
First Question			
2nd			
3rd			
4th			
			
Frequency	1.176	GHz	
Step Axis :Roll  [deg]	0.00		
Channel	CH1		
Scan Axis name	Azimuth  [deg]		
Scan Axis	Amplitude	Phase	
			
-180.00	-38.991	-95.822	
-175.00	-40.434	-170.098	
-170.00	-35.006	163.881	
-165.00	-32.510	153.286	
-160.00	-30.375	157.803	
-155.00	-28.322	164.043	
-150.00	-26.842	169.847	
-145.00	-25.133	170.840	
-140.00	-25.167	169.445	
-135.00	-25.724	176.462	
-130.00	-26.290	-167.919	
-125.00	-25.697	-145.253	
-120.00	-24.107	-131.784	
-115.00	-23.301	-127.349	
-110.00	-24.666	-118.139	
-105.00	-25.981	-96.378	
-100.00	-25.725	-75.014	
-95.00	-26.046	-58.626	
-90.00	-26.168	-36.983	
-85.00	-25.509	-22.245	
-80.00	-25.338	-12.774	
-75.00	-26.456	-1.669	
-70.00	-26.480	12.155	
-65.00	-26.363	14.783	
-60.00	-27.102	15.392	
-55.00	-28.287	9.019	
-50.00	-29.551	2.244	
-45.00	-29.050	-7.088	
-40.00	-28.053	-17.756	
-35.00	-26.120	-29.615	
-30.00	-24.678	-32.320	
-25.00	-22.947	-36.903	
-20.00	-21.415	-39.272	
-15.00	-20.395	-39.605	
-10.00	-19.888	-39.116	
-5.00	-19.335	-38.357	
0.00	-18.497	-37.667	
5.00	-18.304	-40.605	
10.00	-18.406	-38.242	
15.00	-17.925	-41.265	
20.00	-17.988	-44.754	
25.00	-18.312	-47.582	
30.00	-18.128	-52.325	
35.00	-18.081	-57.010	
40.00	-18.832	-64.717	
45.00	-19.151	-70.041	
50.00	-19.953	-80.212	
55.00	-20.596	-92.424	
60.00	-21.214	-106.433	
65.00	-21.314	-121.712	
70.00	-21.628	-130.724	
75.00	-22.001	-145.420	
80.00	-22.381	-158.566	
85.00	-22.104	-174.694	
90.00	-22.197	175.666	
95.00	-22.152	168.760	
100.00	-23.246	162.608	
105.00	-24.584	162.083	
110.00	-26.351	156.014	
115.00	-28.489	149.961	
120.00	-31.840	148.551	
125.00	-37.748	146.782	
130.00	-51.055	42.385	
135.00	-36.431	-1.619	
140.00	-33.044	-5.746	
145.00	-31.225	-11.723	
150.00	-29.510	-21.618	
155.00	-29.057	-31.784	
160.00	-28.509	-39.012	
165.00	-28.504	-46.004	
170.00	-29.720	-55.425	
175.00	-33.431	-67.579	
180.00	-39.423	-92.325	
Frequency	1.176	GHz	
Step Axis :Roll  [deg]	90.00		
Channel	CH1		
Scan Axis name	Azimuth  [deg]		
Scan Axis	Amplitude	Phase	
			
-180.00	-36.838	-84.382	
-175.00	-41.363	-152.849	
-170.00	-36.401	162.879	
-165.00	-33.098	153.759	
-160.00	-30.525	153.790	
-155.00	-29.283	160.841	
-150.00	-27.109	167.458	
-145.00	-25.687	169.094	
-140.00	-25.117	169.882	
-135.00	-25.376	175.212	
-130.00	-26.194	-171.652	
-125.00	-26.126	-148.711	
-120.00	-24.004	-133.925	
-115.00	-23.589	-126.904	
-110.00	-24.297	-119.983	
-105.00	-25.942	-102.195	
-100.00	-25.688	-79.360	
-95.00	-25.750	-64.302	
-90.00	-25.949	-44.972	
-85.00	-25.718	-24.424	
-80.00	-25.373	-12.963	
-75.00	-25.896	-4.463	
-70.00	-26.156	11.250	
-65.00	-26.568	17.432	
-60.00	-26.642	17.718	
-55.00	-28.128	13.824	
-50.00	-29.396	8.392	
-45.00	-30.329	1.207	
-40.00	-29.094	-11.132	
-35.00	-27.572	-25.289	
-30.00	-25.994	-34.607	
-25.00	-23.980	-35.619	
-20.00	-22.294	-39.084	
-15.00	-21.229	-41.922	
-10.00	-20.318	-41.092	
-5.00	-19.649	-42.655	
0.00	-19.336	-41.080	
5.00	-18.569	-39.954	
10.00	-18.687	-40.785	
15.00	-18.538	-41.161	
20.00	-18.454	-43.884	
25.00	-18.341	-46.768	
30.00	-18.892	-49.584	
35.00	-18.263	-56.533	
40.00	-19.009	-61.253	
45.00	-19.120	-69.075	
50.00	-19.726	-76.391	
55.00	-20.601	-87.142	
60.00	-21.036	-101.269	
65.00	-21.320	-114.325	
70.00	-21.589	-128.614	
75.00	-21.956	-143.601	
80.00	-22.207	-156.446	
85.00	-22.677	-170.495	
90.00	-22.251	177.859	
95.00	-22.509	168.624	
100.00	-22.541	164.954	
105.00	-23.993	161.170	
110.00	-25.880	157.161	
115.00	-27.978	152.252	
120.00	-30.544	150.734	
125.00	-34.939	149.076	
130.00	-46.582	123.880	
135.00	-39.571	7.032	
140.00	-34.422	-1.968	
145.00	-31.540	-11.341	
150.00	-30.385	-15.058	
155.00	-29.611	-27.883	
160.00	-28.697	-37.391	
165.00	-29.002	-46.279	
170.00	-29.944	-54.376	
175.00	-32.663	-63.690	
180.00	-37.201	-86.155	
