Test Title:	ETEN10 lab 1						
Date:	2011-10-16						
Time:	13:10						
Operator Name:	Ben Nel						
Comment:	Vert						
							
[Scan Axis] Name: 	Azimuth  [deg]Start: 	-180.000000	Stop	180.000000	Increment	5.000000[Step Axis] Name: 	Roll  [deg]Start: 	0.000000	Stop	90.000000	Increment	90.000000[Tert] Name: 	None [Forth] Name: 	None  [ Freq.]  (Single) 	GHz.	1.575000
 [Switch]  	None [Channel]  	CH1			 [ Beam] 	None			
Database:			
First Question			
2nd			
3rd			
4th			
			
Frequency	1.575	GHz	
Step Axis :Roll  [deg]	0.00		
Channel	CH1		
Scan Axis name	Azimuth  [deg]		
Scan Axis	Amplitude	Phase	
			
-180.00	-63.437	121.139	
-175.00	-64.647	112.979	
-170.00	-65.907	104.274	
-165.00	-67.243	97.551	
-160.00	-68.841	92.508	
-155.00	-70.735	88.901	
-150.00	-72.949	85.152	
-145.00	-75.518	76.809	
-140.00	-78.136	58.172	
-135.00	-78.737	29.822	
-130.00	-77.256	9.433	
-125.00	-76.237	0.114	
-120.00	-76.461	-1.867	
-115.00	-77.778	-1.677	
-110.00	-80.551	-4.222	
-105.00	-83.784	-31.489	
-100.00	-80.845	-84.640	
-95.00	-75.529	-101.364	
-90.00	-71.848	-101.168	
-85.00	-69.152	-97.800	
-80.00	-67.498	-90.488	
-75.00	-66.136	-81.104	
-70.00	-65.212	-68.617	
-65.00	-64.412	-53.028	
-60.00	-63.511	-34.668	
-55.00	-62.279	-16.287	
-50.00	-61.058	1.046	
-45.00	-59.718	16.621	
-40.00	-58.440	33.418	
-35.00	-57.252	46.708	
-30.00	-56.073	59.172	
-25.00	-55.237	69.593	
-20.00	-54.462	79.694	
-15.00	-53.933	89.334	
-10.00	-53.433	97.642	
-5.00	-53.132	104.788	
0.00	-52.780	110.753	
5.00	-52.584	115.685	
10.00	-52.541	119.012	
15.00	-52.495	121.647	
20.00	-52.601	122.961	
25.00	-52.849	124.686	
30.00	-53.088	123.397	
35.00	-53.374	121.851	
40.00	-53.841	118.838	
45.00	-54.378	115.216	
50.00	-55.027	111.075	
55.00	-55.747	106.590	
60.00	-56.523	101.437	
65.00	-57.453	95.614	
70.00	-58.429	90.611	
75.00	-59.277	86.093	
80.00	-60.012	81.966	
85.00	-60.663	78.055	
90.00	-61.392	73.856	
95.00	-62.206	68.767	
100.00	-63.402	62.399	
105.00	-65.139	53.311	
110.00	-67.387	40.268	
115.00	-69.965	20.914	
120.00	-71.752	-7.950	
125.00	-72.105	-36.163	
130.00	-71.797	-61.463	
135.00	-71.181	-82.932	
140.00	-70.476	-100.515	
145.00	-69.927	-112.855	
150.00	-70.162	-122.911	
155.00	-71.217	-133.189	
160.00	-73.282	-148.594	
165.00	-75.632	-175.367	
170.00	-75.700	147.005	
175.00	-73.540	117.782	
180.00	-71.624	101.663	
Frequency	1.575	GHz	
Step Axis :Roll  [deg]	90.00		
Channel	CH1		
Scan Axis name	Azimuth  [deg]		
Scan Axis	Amplitude	Phase	
			
-180.00	-66.261	81.159	
-175.00	-66.390	79.116	
-170.00	-66.846	76.140	
-165.00	-67.639	73.155	
-160.00	-68.994	71.082	
-155.00	-70.705	68.985	
-150.00	-72.704	65.957	
-145.00	-74.884	57.278	
-140.00	-76.509	41.906	
-135.00	-76.745	22.394	
-130.00	-75.793	8.181	
-125.00	-75.126	1.568	
-120.00	-75.453	0.165	
-115.00	-76.959	1.769	
-110.00	-79.760	-0.250	
-105.00	-83.354	-26.965	
-100.00	-81.056	-81.228	
-95.00	-75.540	-98.423	
-90.00	-71.835	-100.536	
-85.00	-69.178	-95.631	
-80.00	-67.419	-88.621	
-75.00	-66.096	-79.966	
-70.00	-65.124	-68.320	
-65.00	-64.205	-53.379	
-60.00	-63.448	-36.221	
-55.00	-62.549	-16.162	
-50.00	-61.199	2.068	
-45.00	-59.747	19.033	
-40.00	-58.380	33.201	
-35.00	-57.288	47.297	
-30.00	-56.240	59.427	
-25.00	-55.247	70.128	
-20.00	-54.466	79.961	
-15.00	-53.823	89.483	
-10.00	-53.451	97.864	
-5.00	-53.137	104.834	
0.00	-52.795	111.006	
5.00	-52.551	115.804	
10.00	-52.438	120.154	
15.00	-52.467	123.068	
20.00	-52.566	124.529	
25.00	-52.774	125.031	
30.00	-53.008	124.540	
35.00	-53.456	123.219	
40.00	-53.917	120.639	
45.00	-54.415	117.332	
50.00	-55.032	113.167	
55.00	-55.747	108.464	
60.00	-56.637	102.855	
65.00	-57.556	96.867	
70.00	-58.458	91.805	
75.00	-59.356	86.797	
80.00	-60.096	82.434	
85.00	-60.690	78.385	
90.00	-61.325	74.406	
95.00	-62.160	69.370	
100.00	-63.294	63.626	
105.00	-65.025	54.602	
110.00	-67.199	41.120	
115.00	-69.636	21.358	
120.00	-71.498	-5.246	
125.00	-72.068	-33.539	
130.00	-71.773	-57.619	
135.00	-71.308	-80.493	
140.00	-70.682	-97.464	
145.00	-70.212	-111.516	
150.00	-70.427	-121.670	
155.00	-71.435	-132.009	
160.00	-73.355	-146.984	
165.00	-75.744	-175.220	
170.00	-75.951	146.442	
175.00	-73.931	116.861	
180.00	-71.740	101.818	
